# key	tier	source_class	name	url	citable_for   (catalog on ce98b0a6)
aces_ext	T1	university_extension	Alabama Cooperative Extension System	https://www.aces.edu	Alabama Cooperative Extension System publications (Auburn University, a 1862 Land Grant institution). Southeastern / Gulf-South regional coverage.
almanac	T2	horticultural_authority	The Old Farmer's Almanac	https://www.almanac.com/plants	Regional zone-calendar references and frost-date corroboration; documentation of traditional planting practices including moon-phase guidance. Not citable as anchor for biological-mechanism claims.
aspca	T1	veterinary_toxicology_authority	ASPCA Animal Poison Control -- Toxic and Non-Toxic Plants	https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants	Companion-animal (cat/dog/horse) plant toxicity classification ONLY. The canonical US pet-toxicity authority (ASPCA Animal Poison Control Center). Non-.edu/non-gov; admitted T1 for this claim class only -- NOT for agronomy, culture, or human-health claims.
auburn_aces	T1	university_extension	Alabama Cooperative Extension System -- Simple Guide for Harvesting Popular Crops	https://www.aces.edu/blog/topics/fruits-vegetables-urban/simple-guide-for-harvesting-popular-crops/	Alabama Cooperative Extension System publications from Auburn University, a 1862 Land Grant institution. Southeast regional coverage.
australian_seed	T2	commercial_seed_company	Australian Seed Supplier Pty Ltd	https://www.australianseed.com/	Cultivar specifications per published seed catalog. Southern-hemisphere context requires translation for North American application.
az_coop_ext	T1	university_extension	Arizona Cooperative Extension (University of Arizona)	https://extension.arizona.edu	Cooperative Extension publications from the University of Arizona, a 1862 Land Grant institution. Arid and Southwest regional coverage.
clemson_hgic	T1	university_extension	Clemson Cooperative Extension Home & Garden Information Center	https://hgic.clemson.edu	Clemson University Home and Garden Information Center publications, a 1862 Land Grant institution. Southeast regional coverage.
clemson_hgic_1149	T1	university_extension	Clemson HGIC 1149 -- How to Grow Zinnias	https://hgic.clemson.edu/factsheet/how-to-grow-zinnias-the-best-varieties-care-tips/	Clemson HGIC factsheet 1149 'How to Grow Zinnias' (pub. Feb 2025). Zinnia culture in the Southeast: last-frost direct-sow trigger, soil/air ~70F, 8-12 week time-to-bloom, spacing/airflow for powdery-mildew avoidance, base watering, cut-and-come-again, vase life, PM/leaf-spot-resistant variety groups (Profusion, Zahara). Parent portal entry: clemson_hgic.
clemson_hgic_1322_sweet_potato	T1	university_extension	Clemson HGIC 1322 Sweetpotato	https://hgic.clemson.edu/factsheet/sweet-potato/	Clemson HGIC specific fact sheet 1322 (sweet potato). Southeast regional coverage. Parent portal entry: clemson_hgic.
clemson_peach_diseases	T1	university_extension	Clemson HGIC -- Peach Diseases factsheet	https://hgic.clemson.edu/factsheet/peach-diseases/	Clemson HGIC Peach Diseases factsheet; the do-not-replant-old-peach-sites / specific-replant-disease guidance for rotation.
cornell_ext	T1	university_extension	Cornell Cooperative Extension	https://cals.cornell.edu/cornell-cooperative-extension	Cornell Cooperative Extension publications, a 1862 Land Grant institution. Northeast regional coverage; particularly strong for orchard, small-fruit, and cool-season vegetable guidance.
cornell_ext_apple_disease	T1	university_extension	Cornell Apple Variety Database -- Disease Susceptibility Ranking of Apples	https://blogs.cornell.edu/applevarietydatabase/disease-susceptibility-of-common-apples/	Cornell Apple Variety Database disease-susceptibility table (fire blight, apple scab, powdery mildew, cedar-apple rust, leaf spots) across common apple cultivars; the primary source for the apple variety resistance matrix. Parent portal entry: cornell_ext.
cornell_ext_apple_fireblight	T1	university_extension	Cornell Khan Lab -- Fire Blight Susceptibility of Common Apple Cultivars	https://blogs.cornell.edu/khanlab/extension/fire-blight-susceptibility-of-common-apple-cultivars/	Cornell AgriTech (Geneva) Khan Lab fire-blight susceptibility ranking, corroborating the apple fire-blight resistance grades. Parent portal entry: cornell_ext.
cornell_ext_apple_scab	T1	university_extension	Cornell Khan Lab -- Apple Scab Susceptibility of Common Cultivars	https://blogs.cornell.edu/khanlab/extension/apple-scab-susceptibility-of-common-cultivars/	Cornell AgriTech (Geneva) Khan Lab apple-scab susceptibility ranking, corroborating the apple scab resistance grades. Parent portal entry: cornell_ext.
cornell_ext_strawberry_redstele	T1	university_extension	Cornell -- Red Stele Root Rot of Strawberry	https://blogs.cornell.edu/livegpath/gallery/strawberries/red-stele-root-rot-of-strawberry/	Cornell (LivGpath) Red Stele Root Rot of Strawberry page; corroborates the strawberry red-stele resistant-variety list (Earliglow, Allstar, Tristar). Parent portal entry: cornell_ext.
cornell_small_farms	T1	extension_program	Cornell Small Farms Program (Cornell Cooperative Extension)	https://smallfarms.cornell.edu	Cornell Small Farms Program publications under Cornell Cooperative Extension. Distinct program with its own editorial process, paralleling how uc_mg is a distinct program under UC ANR. Northeast regional coverage. Particularly strong for specialty crop and small-scale production guidance.
csu_ext	T1	university_extension	Colorado State University Extension	https://extension.colostate.edu	Colorado State University Extension publications, a 1862 Land Grant institution. Semi-arid Intermountain/High Plains coverage; strong water-wise and xeriscape guidance.
csu_ext_lavender_07245	T1	university_extension	CSU Extension Fact Sheet 7.245 (Growing Lavender in Colorado)	https://extension.colostate.edu/resource/growing-lavender-in-colorado/	CSU Extension Fact Sheet 7.245 (Growing Lavender in Colorado). Lavender as a semi-woody perennial sub-shrub: species/hardiness (English z5; lavandin; French/Spanish not cold hardy, used as annuals in containers), full-sun alkaline lean soil, deep-infrequent watering, prune one-third when green emerges, harvest at ~50% buds open, Phytophthora root rot from poor drainage. Specific page under its trusted parent (T1 inherited).
deep_roots_project	T1	community_resource	Deep Roots Project Chicago Zone 5b/6a Planting Calendar	https://www.deep-roots-project.org	Deep Roots Project peer-reviewed/research-affiliated publications (verify scope on next citation).
ext_org_apples	T1	cooperative_extension_community	Apples -- Cooperative Extension (apples.extension.org)	https://apples.extension.org/	The Cooperative Extension System's national apple resource, peer-contributed by land-grant university tree-fruit extension specialists. Apple bloom-timing, pollination, and phenology spanning climates. The cross-regional bloom-timing anchor (bloom roughly 3-4 weeks after leaf-out; western NC mid-April vs Minnesota mid-May).
harvest_to_table	T2	horticultural_authority	Harvest to Table (Stephen Albert)	https://harvesttotable.com	Home-gardener storage practices and corroboration of extension storage guidance. Not citable as anchor for biological claims.
hoss_tools	T2	commercial_seed_company	Hoss Tools	https://growhoss.com/	Cultivar specifications per published seed catalog.
hudson_valley	T2	commercial_seed_company	Hudson Valley Seed Company	https://hudsonvalleyseed.com/	Cultivar specifications and varietal data per published seed catalog.
iastate_ext	T1	university_extension	Iowa State University Extension	https://yardandgarden.extension.iastate.edu	Cooperative Extension publications from Iowa State University, a 1862 Land Grant institution. Midwest regional coverage.
iastate_ext_colecrops	T1	university_extension	Iowa State Extension -- Planting broccoli, cabbage, and cauliflower in the home garden	https://hortnews.extension.iastate.edu/2018/03/planting-broccoli-cabbage-and-cauliflower-home-garden	broccoli cole-crop transplant timing (upper Midwest)
illinois_ext	T1	university_extension	University of Illinois Extension	https://extension.illinois.edu/gardening/asparagus	Cooperative Extension publications from the University of Illinois, an 1862 Land Grant institution. Lower Midwest coverage; carries the soil-workability crown-planting anchor.
johnny_seeds	T2	commercial_seed_company	Johnny's Selected Seeds Growers Library	https://www.johnnyseeds.com/growers-library/	Cultivar specifications, days-to-maturity, disease resistance per published seed catalog. Microgreen-storage corroboration alongside T1 sources. Not citable as anchor for biological claims.
kitchen_garden_seeds	T2	commercial_seed_company	John Scheepers Kitchen Garden Seeds	https://www.kitchengardenseeds.com/	Cultivar specifications per published seed catalog.
ksu_pawpaw	T1	university_extension	Kentucky State University Pawpaw Research Program	https://www.kysu.edu/academics/college-ahnr/school-of-anr/pawpaw/	Kentucky State University specific pawpaw research program publications. KSU is the 1890 HBCU Land Grant for Kentucky and hosts the USDA-recognized pawpaw research program.
lsu_agcenter	T1	university_extension	Louisiana State University AgCenter	https://www.lsuagcenter.com/topics/lawn_garden	LSU AgCenter publications, the cooperative extension service of Louisiana State University, a 1862 Land Grant institution. Gulf South regional coverage.
